O capitão américa aparece sobrevoando São Paulo e diz que irá se candidatar;verdadeiro
A polarização da população gera guerra civil;fake_news
O Chaves se pronuncia e diz está indignado com tanta mentira.;verdadeiro
Morte do precidenciavel X por acidente de aviao;verdadeiro
Monumento de Brasilia é atacado por manifestantes e eleicoes seráo canceladas;fake_news
Novo presidente se diz confiante para governar o pais;verdadeiro
Jair Bolsonaro sobe no ranking de rejeicao no nordeste;verdadeiro
Haddad melhora nas pesquisas apos apoio de Lula;verdadeiro
Disputa no segundo turno está cada vez mais acirrada entre os extremos;verdadeiro
Amoedo declara apoio ao PT;fake_news
Manifestantes em Sao Paulo param avenida pedem intervençao militar!;fake_news
Padre Marcelo Rossi diz que irá se candidatar a presidencia;fake_news
Ex presidente Lula consegue habeas Corpus e pode ser candidato;fake_news
Presidente temmer declara apoio ao partido NOVO;fake_news
Mourao declara que é contra o 13 salario e adiantamento de férias de funcionários;verdadeiro